id,order_id,price,time,symbol,algo_id,datetime
36,1,719.87,2026-06-29 12:20:00.090133,QQQ,L-cf3aed2df9e2495c2193ae88e394fe42,2026-06-29 12:20:00
103,1,0.0,2026-06-30 09:31:00.382135,QQQ,L-787be3d473796e10a434d7c04313348c,2026-06-30 09:31:00
